dataset_name,oversampler_name,n_neighbors,oversampling_option,mean,std
thyroid_sick,BorderlineSMOTE,3,ADVANCED,0.7825963105860185,0.13963683035922983
thyroid_sick,BorderlineSMOTE,3,BASIC,0.7674353246073148,0.1341359497416645
thyroid_sick,BorderlineSMOTE,5,ADVANCED,0.786366751320463,0.14320107309245717
thyroid_sick,BorderlineSMOTE,5,BASIC,0.7634744729069445,0.13701786710376287
thyroid_sick,BorderlineSMOTE,7,ADVANCED,0.7824486458432408,0.1406831666702762
thyroid_sick,BorderlineSMOTE,7,BASIC,0.7597362121416666,0.1318839225510089
thyroid_sick,SMOTE,3,ADVANCED,0.788918070017963,0.14326051651880592
thyroid_sick,SMOTE,3,BASIC,0.7836381045194445,0.16562347764199659
thyroid_sick,SMOTE,5,ADVANCED,0.7842657004521296,0.14385252967417228
thyroid_sick,SMOTE,5,BASIC,0.7502936107694445,0.16336759168550588
thyroid_sick,SMOTE,7,ADVANCED,0.7806187818937037,0.14372277162555266
thyroid_sick,SMOTE,7,BASIC,0.7579093362707408,0.1443586912717821
us_crime,ADASYN,3,ADVANCED,0.5726641946795371,0.04092437071828228
us_crime,ADASYN,3,BASIC,0.5545388406885186,0.06383522939588368
us_crime,ADASYN,5,ADVANCED,0.573708065368889,0.04060076610797694
us_crime,ADASYN,5,BASIC,0.5405319846183333,0.05639409316763463
us_crime,ADASYN,7,ADVANCED,0.5726276295969445,0.03924867254063469
us_crime,BorderlineSMOTE,3,ADVANCED,0.5791327183452778,0.030972525064871696
us_crime,BorderlineSMOTE,3,BASIC,0.5603180537617592,0.03200760592506113
us_crime,BorderlineSMOTE,5,ADVANCED,0.5774230241028704,0.029490464731155682
us_crime,BorderlineSMOTE,5,BASIC,0.5656606742878704,0.036528748228785234
us_crime,BorderlineSMOTE,7,ADVANCED,0.5750145789574074,0.030312480176763242
us_crime,BorderlineSMOTE,7,BASIC,0.5416951387277779,0.031286710061201754
us_crime,SMOTE,3,ADVANCED,0.5731317683799074,0.030789177697664618
us_crime,SMOTE,3,BASIC,0.5348127022544445,0.051225541727866794
us_crime,SMOTE,5,ADVANCED,0.5736499907188889,0.03182659653548781
us_crime,SMOTE,5,BASIC,0.5295868036852778,0.038841842162449215
us_crime,SMOTE,7,ADVANCED,0.5688009828074074,0.02957077541291857
us_crime,SMOTE,7,BASIC,0.5557548465911111,0.04390402131065383
wine_quality,ADASYN,3,ADVANCED,0.3827886867723148,0.07789327843566586
wine_quality,ADASYN,3,BASIC,0.33559659208648146,0.09755397211887916
wine_quality,ADASYN,5,ADVANCED,0.37145978154277776,0.07594922421377315
wine_quality,ADASYN,5,BASIC,0.3115217632017593,0.09946448352429885
wine_quality,ADASYN,7,ADVANCED,0.3651858518825,0.07476385439929588
wine_quality,ADASYN,7,BASIC,0.30093145714324077,0.08749377014754874
wine_quality,BorderlineSMOTE,3,ADVANCED,0.39812443076962967,0.061070222639477444
wine_quality,BorderlineSMOTE,3,BASIC,0.3388902921476852,0.0861955760689764
wine_quality,BorderlineSMOTE,5,ADVANCED,0.40852284026444446,0.061493152971115496
wine_quality,BorderlineSMOTE,5,BASIC,0.32465876156064816,0.07362803046418705
wine_quality,BorderlineSMOTE,7,ADVANCED,0.4007464732137963,0.061843564285610324
wine_quality,SMOTE,3,ADVANCED,0.4102813033926852,0.06258244459916121
wine_quality,SMOTE,3,BASIC,0.34163450455444444,0.0948661925058988
wine_quality,SMOTE,5,ADVANCED,0.3927929577247222,0.06319700950158266
wine_quality,SMOTE,5,BASIC,0.3358117031191667,0.09586837992234633
wine_quality,SMOTE,7,ADVANCED,0.38159251891083334,0.06632898116851434
wine_quality,SMOTE,7,BASIC,0.3237004729693519,0.09415776843410142
yeast_me2,ADASYN,3,ADVANCED,0.4835932830560185,0.13237421900857155
yeast_me2,ADASYN,3,BASIC,0.38177615243462965,0.11605499936834278
yeast_me2,ADASYN,5,ADVANCED,0.48777871388351857,0.1370359140023345
yeast_me2,ADASYN,5,BASIC,0.3641975223414815,0.11726009174724775
yeast_me2,ADASYN,7,ADVANCED,0.4835891420690741,0.13647610164233928
yeast_me2,ADASYN,7,BASIC,0.35004861283277783,0.11868787034950148
yeast_me2,BorderlineSMOTE,3,ADVANCED,0.45602164383407406,0.10243610283486376
yeast_me2,BorderlineSMOTE,3,BASIC,0.4522897563201852,0.09897771217735082
yeast_me2,BorderlineSMOTE,5,ADVANCED,0.4785443546800926,0.10665297361274352
yeast_me2,BorderlineSMOTE,5,BASIC,0.45452524788083337,0.11029134224185887
yeast_me2,BorderlineSMOTE,7,ADVANCED,0.4902716430351853,0.11516766279345488
yeast_me2,SMOTE,3,ADVANCED,0.47665913753305555,0.1100340642593072
yeast_me2,SMOTE,3,BASIC,0.3794613442731482,0.1137719610586936
yeast_me2,SMOTE,5,ADVANCED,0.484840249537963,0.12216110159339424
yeast_me2,SMOTE,5,BASIC,0.38103449930166666,0.10572580468052882
yeast_me2,SMOTE,7,ADVANCED,0.4792312240198149,0.12354455794507771
yeast_me2,SMOTE,7,BASIC,0.38098704656750004,0.10074245928093559
yeast_ml8,ADASYN,3,ADVANCED,0.08863767063648148,0.07297316783601028
yeast_ml8,ADASYN,3,BASIC,0.13874624316111112,0.050860416334295076
yeast_ml8,ADASYN,5,ADVANCED,0.08980460523185185,0.07371662418596817
yeast_ml8,ADASYN,5,BASIC,0.16103379817787036,0.03668306609858641
yeast_ml8,ADASYN,7,ADVANCED,0.08805025383425925,0.07189654135060658
yeast_ml8,BorderlineSMOTE,3,ADVANCED,0.03910884575944445,0.060628393661308205
yeast_ml8,BorderlineSMOTE,3,BASIC,0.09918904321490742,0.0518003675889658
yeast_ml8,BorderlineSMOTE,5,ADVANCED,0.04326159607962963,0.0651875305335842
yeast_ml8,BorderlineSMOTE,5,BASIC,0.09564766779425926,0.04953735583916769
yeast_ml8,BorderlineSMOTE,7,ADVANCED,0.04812034229314815,0.06952395278583821
yeast_ml8,BorderlineSMOTE,7,BASIC,0.10464804703037037,0.04942868262688284
yeast_ml8,SMOTE,3,ADVANCED,0.060431691512407404,0.07866901804986766
yeast_ml8,SMOTE,3,BASIC,0.15991007769712964,0.04087152028293272
yeast_ml8,SMOTE,5,ADVANCED,0.06636088070416667,0.0742343885804286
yeast_ml8,SMOTE,5,BASIC,0.15022911238222222,0.039936603224030684
yeast_ml8,SMOTE,7,ADVANCED,0.06879464844342593,0.07273394376703245
yeast_ml8,SMOTE,7,BASIC,0.1503539076025926,0.033330186857683686
